,temp,year,day,weekday,hour,traffic_volume
0,288.28,2012,2,1,9,5545
1,289.36,2012,2,1,10,4516
2,289.58,2012,2,1,11,4767
3,290.13,2012,2,1,12,5026
4,291.14,2012,2,1,13,4918
5,291.72,2012,2,1,14,5181
6,293.17,2012,2,1,15,5584
7,293.86,2012,2,1,16,6015
8,294.14,2012,2,1,17,5791
9,293.1,2012,2,1,18,4770
10,290.97,2012,2,1,19,3539
11,289.38,2012,2,1,20,2784
12,288.61,2012,2,1,21,2361
13,287.16,2012,2,1,22,1529
14,285.45,2012,2,1,23,963
15,284.63,2012,3,2,0,506
16,283.47,2012,3,2,1,321
17,281.18,2012,3,2,2,273
18,281.09,2012,3,2,3,367
19,279.53,2012,3,2,4,814
20,278.62,2012,3,2,5,2718
21,278.23,2012,3,2,6,5673
22,278.12,2012,3,2,8,6511
23,282.48,2012,3,2,9,5471
24,291.97,2012,3,2,12,5097
25,293.23,2012,3,2,13,4887
26,294.31,2012,3,2,14,5337
27,295.17,2012,3,2,15,5692
28,295.13,2012,3,2,16,6137
29,293.66,2012,3,2,18,4623
30,290.65,2012,3,2,19,3591
31,288.19,2012,3,2,20,2898
32,287.1,2012,3,2,21,2637
33,286.25,2012,3,2,22,1777
34,285.26,2012,3,2,23,1015
35,284.55,2012,4,3,0,598
36,283.47,2012,4,3,1,369
37,283.17,2012,4,3,2,312
38,282.04,2012,4,3,3,367
39,281.69,2012,4,3,4,835
40,281.32,2012,4,3,5,2726
41,280.74,2012,4,3,6,5689
42,280.57,2012,4,3,7,6990
43,281.86,2012,4,3,8,5985
44,284.98,2012,4,3,9,5309
45,289.18,2012,4,3,10,4603
46,291.55,2012,4,3,11,4884
47,294.97,2012,4,3,12,5104
48,296.38,2012,4,3,13,5178
49,297.32,2012,4,3,14,5501
50,298.17,2012,4,3,15,5713
51,298.06,2012,4,3,16,6292
52,297.67,2012,4,3,17,6057
53,296.36,2012,4,3,18,4907
54,293.85,2012,4,3,19,3503
55,292.43,2012,4,3,20,3037
56,291.77,2012,4,3,21,2822
57,291.36,2012,4,3,22,1992
58,291.12,2012,4,3,23,1166
59,290.63,2012,5,4,0,627
60,290.46,2012,5,4,1,388
61,289.26,2012,5,4,3,368
62,283.21,2012,5,4,5,2489
63,282.24,2012,5,4,6,5537
64,281.69,2012,5,4,7,6628
65,280.57,2012,5,4,8,5534
66,280.02,2012,5,4,9,5403
67,280.11,2012,5,4,10,4770
68,280.0,2012,5,4,11,5217
69,280.53,2012,5,4,12,5870
70,281.43,2012,5,4,13,5967
71,281.78,2012,5,4,14,6108
72,281.91,2012,5,4,15,6128
73,281.73,2012,5,4,16,6069
74,281.42,2012,5,4,17,6169
75,280.87,2012,5,4,18,5384
76,280.15,2012,5,4,19,4063
77,279.78,2012,5,4,20,3364
78,279.65,2012,5,4,21,2971
79,279.22,2012,5,4,22,2450
80,279.06,2012,5,4,23,1832
81,278.81,2012,6,5,0,1231
82,278.55,2012,6,5,1,718
83,278.59,2012,6,5,2,545
84,276.99,2012,6,5,4,411
85,276.35,2012,6,5,5,688
86,275.4,2012,6,5,6,1352
87,275.17,2012,6,5,7,2072
88,274.99,2012,6,5,8,3342
89,275.09,2012,6,5,9,4258
90,276.88,2012,6,5,10,4861
91,278.04,2012,6,5,11,5191
92,279.08,2012,6,5,12,5669
93,280.12,2012,6,5,13,5074
94,280.25,2012,6,5,14,5025
95,280.0,2012,6,5,15,5153
96,279.06,2012,6,5,16,5024
97,278.91,2012,6,5,17,4779
98,278.39,2012,6,5,18,4362
99,278.16,2012,6,5,19,3860
100,278.16,2012,6,5,20,3160
101,277.93,2012,6,5,21,2992
102,276.9,2012,6,5,22,3202
103,276.34,2012,6,5,23,1941
104,276.11,2012,7,6,0,1233
105,275.73,2012,7,6,3,323
106,275.65,2012,7,6,4,312
107,275.51,2012,7,6,5,627
108,275.05,2012,7,6,6,1508
109,274.77,2012,7,6,7,1539
110,274.77,2012,7,6,8,2232
111,275.55,2012,7,6,9,4568
112,276.24,2012,7,6,10,4624
113,277.01,2012,7,6,11,4529
114,277.43,2012,7,6,12,5139
115,278.45,2012,7,6,13,6640
116,279.27,2012,7,6,14,6589
117,279.27,2012,7,6,15,4429
118,279.44,2012,7,6,16,4329
119,279.32,2012,7,6,17,3833
120,279.27,2012,7,6,18,4015
121,278.11,2012,7,6,19,3382
122,276.79,2012,7,6,20,2815
123,275.73,2012,7,6,21,2110
124,274.88,2012,7,6,22,1555
125,273.92,2012,7,6,23,959
126,273.08,2012,8,0,0,455
127,272.62,2012,8,0,1,336
128,271.78,2012,8,0,2,265
129,271.05,2012,8,0,3,314
130,270.63,2012,8,0,4,779
131,270.33,2012,8,0,5,2571
132,269.61,2012,8,0,6,5563
133,270.01,2012,8,0,7,6676
134,271.23,2012,8,0,8,5966
135,273.71,2012,8,0,9,4832
136,276.77,2012,8,0,10,4395
137,279.47,2012,8,0,11,4411
138,279.84,2012,8,0,12,4648
139,282.34,2012,8,0,13,4602
140,282.94,2012,8,0,14,5125
141,283.48,2012,8,0,15,5502
142,284.33,2012,8,0,16,5979
143,284.48,2012,8,0,17,5663
144,284.23,2012,8,0,18,4259
145,281.99,2012,8,0,19,3069
146,279.81,2012,8,0,20,2378
147,279.35,2012,8,0,21,2030
148,278.9,2012,8,0,22,1400
149,278.46,2012,8,0,23,917
150,277.78,2012,9,1,0,515
151,277.27,2012,9,1,1,302
152,277.47,2012,9,1,2,251
153,276.97,2012,9,1,4,798
154,276.52,2012,9,1,5,2678
155,276.6,2012,9,1,6,5733
156,277.31,2012,9,1,7,6449
157,278.38,2012,9,1,8,5765
158,279.35,2012,9,1,9,5599
159,281.37,2012,9,1,10,4534
160,283.11,2012,9,1,11,4691
161,284.08,2012,9,1,12,5067
162,285.14,2012,9,1,13,5030
163,286.35,2012,9,1,14,5300
164,287.23,2012,9,1,15,5777
165,288.53,2012,9,1,16,6349
166,290.37,2012,9,1,17,6127
167,290.13,2012,9,1,18,4460
168,288.86,2012,9,1,19,3418
169,287.36,2012,9,1,20,2775
170,285.11,2012,9,1,21,2306
171,283.46,2012,9,1,22,1846
172,282.45,2012,9,1,23,947
